id,title,domain,severity,effort,files,evidence,recommendation,cve
SEC-01,Org reusable workflows pinned to moving @main,security,High,S,.github/workflows/ci.yml;.github/workflows/security-analysis.yml;.github/workflows/sbom.yml;.github/workflows/release.yml,12 calls to ByronWilliamsCPA/.github/...@main (ci.yml:32 etc.); pr-validation.yml:42 is SHA-pinned,Pin every reusable-workflow call to a commit SHA and update via Renovate.,
CI-01,SonarCloud organization mismatch (williaby vs ByronWilliamsCPA),cicd,High,S,sonar-project.properties;.github/workflows/sonarcloud.yml;.github/workflows/ci.yml,ci.yml:39 ByronWilliamsCPA vs sonar-project.properties:7 / sonarcloud.yml:131 williaby,Set the correct organization identically in all three places.,
ARCH-01,Core modules import optional api-extra deps (fastapi/starlette),architecture,High,M,src/foundry_unify/middleware/__init__.py;src/foundry_unify/middleware/security.py;src/foundry_unify/api/health.py;pyproject.toml,pyproject.toml:23-27 vs 134-139; middleware/__init__.py:23-28 re-exports starlette-importing module,Move fastapi/starlette/uvicorn to core dependencies or guard imports so middleware/api are import-safe.,
ARCH-02,No entrypoint; Dockerfile targets missing main:app and skips api extra,architecture,High,M,Dockerfile;docker-compose.yml;src/foundry_unify/,Dockerfile CMD uvicorn foundry_unify.main:app; no main.py; RUN uv sync --frozen --no-dev (api extra excluded),Add main.py exposing app and build with --extra api.,
DEP-01,Container base images not digest-pinned,dependencies,Medium,S,Dockerfile,Dockerfile: FROM python:3.12-slim (x2); COPY --from=ghcr.io/astral-sh/uv:latest,Pin base images by sha256 digest and let Renovate bump them.,
DEP-02,Python 3.10 lower bound nears security EOL (Oct 2026),dependencies,Medium,S,pyproject.toml,"pyproject.toml:12 requires-python = "">=3.10,<3.15""; CI/Dockerfile target 3.12",Raise floor to >=3.11/>=3.12 before 3.10 EOL or add 3.10 to the test matrix.,
CQ-02,Readiness probe always returns healthy (empty checks dict),code-quality,Medium,S,src/foundry_unify/api/health.py,api/health.py:157-186 all([]) is True; checks never populated,Wire real checks or return 503/documented state until checks registered.,
SEC-02,sonarqube-quality-gate-action pinned to @master,security,Medium,S,.github/workflows/sonarcloud.yml,sonarcloud.yml:136 uses sonarsource/sonarqube-quality-gate-action@master,Pin to a released SHA like the sibling scan action.,
SEC-03,uv installed via unpinned curl|sh in CI,security,Medium,S,.github/workflows/sonarcloud.yml,sonarcloud.yml:108-110 curl -LsSf https://astral.sh/uv/install.sh | sh,Use SHA-pinned astral-sh/setup-uv action.,
CI-02,Duplicate SonarCloud analysis,cicd,Medium,S,.github/workflows/ci.yml;.github/workflows/sonarcloud.yml,ci.yml:38 enable-sonarcloud:true and standalone sonarcloud.yml both scan same project,Keep one Sonar path; delete sonarcloud.yml if the org workflow handles it.,
CI-05,Non-blocking SonarCloud quality gate,cicd,Medium,S,.github/workflows/sonarcloud.yml,sonarcloud.yml:120 tests continue-on-error:true; :135 quality gate continue-on-error:true,Make the gate blocking or remove the workflow.,
ARCH-04,Planning docs Awaiting Generation; no real ADRs,architecture,Medium,M,docs/planning/project-vision.md;docs/planning/tech-spec.md;docs/planning/roadmap.md;docs/ADRs/,project-vision.md:14 / tech-spec.md:14 / roadmap.md:14 Status: Awaiting Generation; ADRs only templates,Generate planning docs and write ADRs for uv/BasedPyright/FastAPI/structlog choices.,
CI-03,Full CI runs twice per PR,cicd,Medium,M,.github/workflows/ci.yml;.github/workflows/pr-validation.yml,python-ci.yml invoked by ci.yml:35 and pr-validation.yml:42 on same PR,Run python-ci.yml once on PRs; have the other depend on it or cover only extra jobs.,
DOC-02,README presents unbuilt OCR service as built,docs,Medium,M,README.md;CLAUDE.md,README describes OCR service; src/ has only scaffolding; documented middleware import needs api extra,Add a pre-alpha/scaffolding banner and mark API examples as needing the api extra.,
ARCH-03,Stated OCR product has zero domain code,architecture,Medium,L,src/foundry_unify/,All 1886 src LOC are template scaffolding; no OCR/layout module; 3 commits,Treat as scaffolding; track the gap in roadmap and align README maturity claims.,
DEP-03,Heavyweight ml extra declared but unused,dependencies,Low,S,pyproject.toml,pyproject.toml:124-130 (torch/torchvision/numpy/sklearn/tensorboard); no imports in src/,Defer or comment out the ml extra until code uses it.,
DEP-04,Commented doc block inside dependencies array,dependencies,Low,S,pyproject.toml,pyproject.toml:28-74 ~45 lines of commented compatibility notes,Move commentary to docs/PYTHON_COMPATIBILITY.md.,
CQ-01,Non-asserting placeholder test (assert True),code-quality,Low,S,tests/test_example.py,tests/test_example.py:388 assert True,Assert on observable output or delete the test.,
CQ-03,Empty financial.py stub (template residue),legacy-code,Low,S,src/foundry_unify/utils/financial.py,financial.py:1 one-line docstring no code,Delete the file and its CLAUDE.md entry or populate it.,
SEC-04,Some actions tag-pinned not SHA-pinned,security,Low,S,.github/workflows,5 of 30 uses: lines tag-pinned: setup-uv@v7 dependency-review-action@v4,SHA-pin these to match the other workflows.,
SEC-05,Weak placeholder password in .env.example,security,Low,S,.env.example,.env.example:200 DB_PASSWORD=password,Use a placeholder-style value like changeme-your-db-password.,
CI-04,Same reusable workflow pinned @main and @SHA,cicd,Low,S,.github/workflows/ci.yml;.github/workflows/pr-validation.yml,ci.yml:35 @main vs pr-validation.yml:42 @e8fc83c,Pin both to the same SHA.,
CI-06,Obsolete docker-compose version attribute,cicd,Low,S,docker-compose.yml,docker-compose.yml:4 version: '3.9',Remove the version line.,
CI-07,Stale pre-commit pins; basedpyright gate missing from pre-commit,cicd,Low,S,.pre-commit-config.yaml,.pre-commit-config.yaml:130 ruff rev v0.9.0 vs installed 0.15.x; no basedpyright hook,Run pre-commit autoupdate and add a basedpyright local hook.,
CI-08,pip cache configured on a uv-managed project,cicd,Low,S,.github/workflows/sonarcloud.yml,sonarcloud.yml setup-python cache: 'pip',Drop cache:'pip'; use setup-uv caching.,
DOC-01,CHANGELOG claims Poetry and a nonexistent CLI,docs,Low,S,CHANGELOG.md,CHANGELOG.md:18 'Poetry package management'; 'CLI tool foundation' with no CLI in src,Replace Poetry with uv and drop the CLI line until a CLI exists.,
DOC-03,Malformed uv command in README,docs,Low,S,README.md,"README.md:86 uv sync --all-extras,ml (invalid)",Use uv sync --extra ml or --all-extras.,
DOC-04,"CLAUDE.md structure lists empty financial.py, omits api/",docs,Low,S,CLAUDE.md,CLAUDE.md Project Structure lists financial.py (Decimal precision) which is empty; api/ not listed,Update the structure block to match src/.,
DOC-05,Planning docs and ADRs unwritten but linked,docs,Low,M,docs/planning/project-vision.md;docs/planning/tech-spec.md;docs/planning/roadmap.md;docs/ADRs/,planning/*.md:14 Awaiting Generation; ADRs only template,Generate the docs or mark links as to-be-written.,
